count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez
79,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.047619,-7.000000,-5.000000,5.009524,-7.000000,0.000000,-1.000000,0.000000
80,0.020000,0.000000,-7.905236,0.000000,-5.000000,5.085714,-7.000000,-5.000000,5.047619,-7.000000,0.000000,-1.000000,0.000000
81,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.123810,-7.000000,-5.000000,5.085714,-7.000000,0.000000,-1.000000,0.000000
82,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.161905,-7.000000,-5.000000,5.123810,-7.000000,0.000000,-1.000000,0.000000
83,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.200000,-7.000000,-5.000000,5.161905,-7.000000,0.000000,-1.000000,0.000000
84,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.238095,-7.000000,-5.000000,5.200000,-7.000000,0.000000,-1.000000,0.000000
85,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.276191,-7.000000,-5.000000,5.238095,-7.000000,0.000000,-1.000000,0.000000
86,0.020000,0.000000,-7.905260,0.000000,-5.000000,5.314286,-7.000000,-5.000000,5.276191,-7.000000,0.000000,-1.000000,0.000000
87,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.352381,-7.000000,-5.000000,5.314286,-7.000000,0.000000,-1.000000,0.000000
88,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.390476,-7.000000,-5.000000,5.352381,-7.000000,0.000000,-1.000000,0.000000
89,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.428572,-7.000000,-5.000000,5.390476,-7.000000,0.000000,-1.000000,0.000000
90,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.466667,-7.000000,-5.000000,5.428572,-7.000000,0.000000,-1.000000,0.000000
91,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.504762,-7.000000,-5.000000,5.466667,-7.000000,0.000000,-1.000000,0.000000
92,0.020000,0.000000,-7.905236,0.000000,-5.000000,5.542857,-7.000000,-5.000000,5.504762,-7.000000,0.000000,-1.000000,0.000000
93,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.580953,-7.000000,-5.000000,5.542857,-7.000000,0.000000,-1.000000,0.000000
94,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.619048,-7.000000,-5.000000,5.580953,-7.000000,0.000000,-1.000000,0.000000
95,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.657143,-7.000000,-5.000000,5.619048,-7.000000,0.000000,-1.000000,0.000000
96,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.695238,-7.000000,-5.000000,5.657143,-7.000000,0.000000,-1.000000,0.000000
97,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.733334,-7.000000,-5.000000,5.695238,-7.000000,0.000000,-1.000000,0.000000
98,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.771429,-7.000000,-5.000000,5.733334,-7.000000,0.000000,-1.000000,0.000000
99,0.020000,0.000000,-7.905260,0.000000,-5.000000,5.809524,-7.000000,-5.000000,5.771429,-7.000000,0.000000,-1.000000,0.000000
100,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.847619,-7.000000,-5.000000,5.809524,-7.000000,0.000000,-1.000000,0.000000
101,0.020000,0.000000,-7.905225,0.000000,-5.000000,5.885715,-7.000000,-5.000000,5.847619,-7.000000,0.000000,-1.000000,0.000000
102,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.923810,-7.000000,-5.000000,5.885715,-7.000000,0.000000,-1.000000,0.000000
103,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.961905,-7.000000,-5.000000,5.923810,-7.000000,0.000000,-1.000000,0.000000
104,0.020000,0.000000,-7.905225,0.000000,-5.000000,6.000000,-7.000000,-5.000000,5.961905,-7.000000,0.000000,-1.000000,0.000000
105,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.961905,-7.000000,-5.000000,6.000000,-7.000000,0.000000,-1.000000,0.000000
106,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.923810,-7.000000,-5.000000,5.961905,-7.000000,0.000000,-1.000000,0.000000
107,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.885715,-7.000000,-5.000000,5.923810,-7.000000,0.000000,-1.000000,0.000000
108,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.847619,-7.000000,-5.000000,5.885715,-7.000000,0.000000,-1.000000,0.000000
109,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.809524,-7.000000,-5.000000,5.847619,-7.000000,0.000000,-1.000000,0.000000
110,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.771429,-7.000000,-5.000000,5.809524,-7.000000,0.000000,-1.000000,0.000000
111,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.733334,-7.000000,-5.000000,5.771429,-7.000000,0.000000,-1.000000,0.000000
112,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.695238,-7.000000,-5.000000,5.733334,-7.000000,0.000000,-1.000000,0.000000
